nama_file_gambar,jawaban_fisik_ditandai_str,jawaban_dideteksi_sistem_str,skor_dari_sistem
ljk_asli_01_bc_a0.8_b-12_10.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,1,3,1,1,1,1,4,3,2,2,1,4,3,1,1,1,2,1,2,3,0,0,2,1,2,4,4,1,4",90
ljk_asli_01_noise34_0.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,0,3,2,3,2,0,2,1,2,4,1,1,4",96.66666667
ljk_asli_01_noise34_persp_slight_8.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,1,3,1,1,1,1,4,3,2,1,1,2,4,1,1,2,2,1,2,3,2,0,3,1,2,4,0,2,1",80
ljk_asli_01_noise38_12.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,3,3,1,1,1,1,4,3,2,1,2,2,4,1,1,3,2,1,2,3,2,0,2,3,2,4,0,0,1",86.66666667
ljk_asli_01_noise42_rot-2_5.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,1,1,1,1,1,3,2,3,2,1,1,2,3,1,1,1,1,1,2,3,2,0,2,2,2,4,0,2,1",86.66666667
ljk_asli_01_persp_slight_6.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,1,3,1,2,1,1,4,3,2,1,1,0,3,1,1,1,2,0,1,3,2,0,2,1,2,4,0,2,1",83.33333333
ljk_asli_01_persp_slight_bc_a1.1_b20_11.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,4,3,1,1,1,1,4,3,2,1,1,2,0,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1",80
ljk_asli_01_rot-2_noise32_1.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,2,3,4,1,1,1,4,2,2,1,1,2,3,1,1,1,2,1,2,3,0,0,2,1,2,4,0,2,1",83.33333333
ljk_asli_01_rot-4_3.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,1,3,1,1,1,1,4,1,2,1,1,2,4,1,1,1,2,1,2,1,0,0,2,1,0,4,0,2,1",76.66666667
ljk_asli_01_rot0_bc_a0.9_b-15_2.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","1,1,3,1,1,1,1,4,3,2,1,1,0,3,4,1,1,2,4,2,3,2,2,2,1,2,4,0,0,1",83.33333333
ljk_asli_01_rot2_4.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,1,3,1,1,1,3,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,2,2,1",83.33333333
ljk_asli_01_rot2_bc_a0.9_b15_9.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,1,3,1,1,1,1,4,4,3,3,1,2,3,1,1,1,2,1,2,3,1,0,2,1,2,4,0,2,1",96.66666667
ljk_asli_01_rot3_persp_slight_13.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,4,2,3,2,0,2,1,0,4,0,2,1",90
